picsfits
12  9 2 0 0.1411E+03 0.4810E+02 0.2118E+02 0.1675E+02 0.4941E+01 0.0000E+00
12  9 1 0 0.1356E+04 0.3345E+03 0.2212E+02 0.7147E+02 0.1413E+01 0.0000E+00
12  8 2 1 0.1413E+03 0.5114E+02 0.2134E+03 0.9563E+02 0.3438E+01 0.5419E-02
12  8 2 0 0.1735E+03 0.4710E+02 0.2448E+02 0.1636E+02 0.4951E+01 0.0000E+00
12  8 1 0 0.1400E+04 0.3259E+03 0.2350E+02 0.6173E+02 0.1464E+01 0.0000E+00
12  7 2 1 0.1865E+03 0.4155E+02 0.2901E+03 0.5000E+02 0.4000E+01 0.3000E+00
12  7 2 0 0.2076E+03 0.4500E+02 0.2434E+02 0.2600E+02 0.4500E+01 0.0000E+00
12  7 1 0 0.1449E+04 0.2777E+03 0.3278E+02 0.5000E+02 0.1650E+01 0.0000E+00
12  6 2 1 0.2249E+03 0.4016E+02 0.2442E+03 0.5000E+02 0.4000E+01 0.3000E+00
12  6 2 0 0.2444E+03 0.4341E+02 0.2832E+02 0.2600E+02 0.4500E+01 0.0000E+00
12  6 1 0 0.1501E+04 0.2742E+03 0.3407E+02 0.5000E+02 0.1650E+01 0.0000E+00
12  5 2 1 0.2660E+03 0.2461E+02 0.3546E+03 0.6160E+02 0.4366E+01 0.6452E-02
12  5 2 0 0.2839E+03 0.3967E+02 0.3755E+02 0.1873E+02 0.4950E+01 0.0000E+00
12  5 1 0 0.1558E+04 0.3082E+03 0.2721E+02 0.5108E+02 0.1539E+01 0.0000E+00
12  4 2 0 0.3282E+03 0.3981E+02 0.3936E+02 0.2600E+02 0.4500E+01 0.0000E+00
12  4 1 0 0.1618E+04 0.2671E+03 0.3699E+02 0.5000E+02 0.1650E+01 0.0000E+00
12  3 2 0 0.3675E+03 0.4041E+02 0.2228E+02 0.3904E+02 0.3986E+01 0.0000E+00
12  3 1 0 0.1675E+04 0.2858E+03 0.3290E+02 0.5384E+02 0.1560E+01 0.0000E+00
12  2 1 0 0.1762E+04 0.2042E+03 0.6140E+02 0.2778E+02 0.2161E+01 0.0000E+00
12  1 1 0 0.1963E+04 0.6203E+02 0.3802E+03 0.3288E+02 0.2963E+01 0.0000E+00
14 11 3 0 0.4514E+02 0.1288E+02 0.6083E+01 0.1356E+07 0.3353E+01 0.0000E+00
14 11 2 1 0.1466E+03 0.6482E+02 0.2326E+03 0.1188E+03 0.3547E+01 0.8417E-03
14 11 2 0 0.1899E+03 0.5977E+02 0.1486E+02 0.2786E+02 0.4565E+01 0.0000E+00
14 11 1 0 0.1868E+04 0.3131E+03 0.3784E+02 0.2017E+02 0.2186E+01 0.0000E+00
14 10 2 1 0.1668E+03 0.7021E+02 0.2109E+03 0.8199E+02 0.3588E+01 0.6329E-04
14 10 2 0 0.2076E+03 0.6653E+02 0.1463E+02 0.2200E+02 0.4611E+01 0.0000E+00
14 10 1 0 0.1887E+04 0.3460E+03 0.3100E+02 0.1979E+02 0.2094E+01 0.0000E+00
14  9 2 1 0.2051E+03 0.6007E+02 0.2789E+03 0.5000E+02 0.4000E+01 0.3000E+00
14  9 2 0 0.2468E+03 0.6237E+02 0.1648E+02 0.2600E+02 0.4500E+01 0.0000E+00
14  9 1 0 0.1946E+04 0.3799E+03 0.2398E+02 0.5000E+02 0.1650E+01 0.0000E+00
14  8 2 1 0.2465E+03 0.5786E+02 0.2777E+03 0.5000E+02 0.4000E+01 0.3000E+00
14  8 2 0 0.2872E+03 0.6086E+02 0.1857E+02 0.2600E+02 0.4500E+01 0.0000E+00
14  8 1 0 0.2001E+04 0.3759E+03 0.2474E+02 0.5000E+02 0.1650E+01 0.0000E+00
14  7 2 1 0.3032E+03 0.5911E+02 0.2326E+03 0.6806E+02 0.3718E+01 0.2813E-04
14  7 2 0 0.3310E+03 0.6593E+02 0.2049E+02 0.2121E+02 0.4515E+01 0.0000E+00
14  7 1 0 0.2058E+04 0.3442E+03 0.3135E+02 0.2260E+02 0.2020E+01 0.0000E+00
14  6 2 1 0.3511E+03 0.5486E+02 0.2031E+03 0.5000E+02 0.4000E+01 0.3000E+00
14  6 2 0 0.3756E+03 0.5745E+02 0.2394E+02 0.2600E+02 0.4500E+01 0.0000E+00
14  6 1 0 0.2125E+04 0.3679E+03 0.2641E+02 0.5000E+02 0.1650E+01 0.0000E+00
14  5 2 1 0.4014E+03 0.3950E+02 0.2223E+03 0.6521E+02 0.4118E+01 0.4760E-04
14  5 2 0 0.4234E+03 0.6098E+02 0.2624E+02 0.2213E+02 0.4520E+01 0.0000E+00
14  5 1 0 0.2194E+04 0.3356E+03 0.3343E+02 0.2487E+02 0.1982E+01 0.0000E+00
14  4 2 0 0.4761E+03 0.5350E+02 0.3155E+02 0.2600E+02 0.4500E+01 0.0000E+00
14  4 1 0 0.2268E+04 0.3599E+03 0.2832E+02 0.5000E+02 0.1650E+01 0.0000E+00
14  3 2 0 0.5235E+03 0.4847E+02 0.1966E+02 0.3851E+02 0.4148E+01 0.0000E+00
14  3 1 0 0.2336E+04 0.3150E+03 0.3880E+02 0.3034E+02 0.1925E+01 0.0000E+00
14  2 1 0 0.2438E+04 0.2752E+03 0.4754E+02 0.2848E+02 0.2135E+01 0.0000E+00
14  1 1 0 0.2673E+04 0.8447E+02 0.2793E+03 0.3288E+02 0.2963E+01 0.0000E+00
16 13 3 1 0.4731E+02 0.3325E+02 0.1099E+02 0.3639E+02 0.5977E+01 0.3761E+00
16 13 3 0 0.5750E+02 0.2143E+02 0.9080E+01 0.7224E+03 0.3618E+01 0.0000E+00
16 13 2 1 0.2164E+03 0.8744E+02 0.2037E+03 0.9310E+02 0.3565E+01 0.9497E-02
16 13 2 0 0.2703E+03 0.8665E+02 0.1155E+02 0.3202E+02 0.4227E+01 0.0000E+00
16 13 1 0 0.2502E+04 0.5523E+03 0.1504E+02 0.5527E+02 0.1517E+01 0.0000E+00
16 12 3 0 0.7268E+02 0.1271E+02 0.1363E+02 0.2570E+03 0.4361E+01 0.0000E+00
16 12 2 1 0.2350E+03 0.7411E+02 0.2919E+03 0.4864E+02 0.4142E+01 0.2785E-01
16 12 2 0 0.2888E+03 0.7355E+02 0.1407E+02 0.2397E+02 0.4754E+01 0.0000E+00
16 12 1 0 0.2522E+04 0.4813E+03 0.2029E+02 0.3854E+02 0.1736E+01 0.0000E+00
16 11 3 0 0.8805E+02 0.1413E+02 0.9139E+01 0.1656E+04 0.3626E+01 0.0000E+00
16 11 2 1 0.2557E+03 0.5747E+02 0.4712E+03 0.3610E+02 0.4742E+01 0.2480E-01
16 11 2 0 0.3094E+03 0.6780E+02 0.1495E+02 0.2519E+02 0.4826E+01 0.0000E+00
16 11 1 0 0.2544E+04 0.4681E+03 0.2148E+02 0.4092E+02 0.1738E+01 0.0000E+00
16 10 2 1 0.2809E+03 0.7813E+02 0.2751E+03 0.4495E+02 0.4110E+01 0.2108E-01
16 10 2 0 0.3321E+03 0.8439E+02 0.1291E+02 0.2335E+02 0.4545E+01 0.0000E+00
16 10 1 0 0.2569E+04 0.4952E+03 0.1916E+02 0.3555E+02 0.1742E+01 0.0000E+00
16  9 2 1 0.3282E+03 0.7695E+02 0.2615E+03 0.5000E+02 0.4000E+01 0.3000E+00
16  9 2 0 0.3797E+03 0.7905E+02 0.1462E+02 0.2600E+02 0.4500E+01 0.0000E+00
16  9 1 0 0.2641E+04 0.4891E+03 0.1931E+02 0.5000E+02 0.1650E+01 0.0000E+00
16  8 2 1 0.3791E+03 0.6911E+02 0.2970E+03 0.5519E+02 0.4011E+01 0.2178E-01
16  8 2 0 0.4296E+03 0.8031E+02 0.1659E+02 0.2170E+02 0.4615E+01 0.0000E+00
16  8 1 0 0.2705E+04 0.4937E+03 0.1946E+02 0.3568E+02 0.1737E+01 0.0000E+00
16  7 2 1 0.4471E+03 0.7326E+02 0.2213E+03 0.5000E+02 0.4000E+01 0.3000E+00
16  7 2 0 0.4804E+03 0.7555E+02 0.1812E+02 0.2600E+02 0.4500E+01 0.0000E+00
16  7 1 0 0.2782E+04 0.4802E+03 0.2041E+02 0.5000E+02 0.1650E+01 0.0000E+00
16  6 2 1 0.5048E+03 0.7213E+02 0.1689E+03 0.5000E+02 0.4000E+01 0.3000E+00
16  6 2 0 0.5346E+03 0.7360E+02 0.2030E+02 0.2600E+02 0.4500E+01 0.0000E+00
16  6 1 0 0.2859E+04 0.4758E+03 0.2101E+02 0.5000E+02 0.1650E+01 0.0000E+00
16  5 2 1 0.5647E+03 0.5542E+02 0.1641E+03 0.6822E+02 0.4000E+01 0.4183E-01
16  5 2 0 0.5906E+03 0.6791E+02 0.2451E+02 0.2306E+02 0.4707E+01 0.0000E+00
16  5 1 0 0.2941E+04 0.4828E+03 0.2087E+02 0.3742E+02 0.1720E+01 0.0000E+00
16  4 2 0 0.6517E+03 0.6930E+02 0.2571E+02 0.2600E+02 0.4500E+01 0.0000E+00
16  4 1 0 0.3029E+04 0.4669E+03 0.2233E+02 0.5000E+02 0.1650E+01 0.0000E+00
16  3 2 0 0.7072E+03 0.4414E+02 0.2178E+02 0.4365E+02 0.4480E+01 0.0000E+00
16  3 1 0 0.3107E+04 0.4667E+03 0.2293E+02 0.4459E+02 0.1668E+01 0.0000E+00
16  2 1 0 0.3224E+04 0.4390E+03 0.2453E+02 0.4405E+02 0.1765E+01 0.0000E+00
16  1 1 0 0.3494E+04 0.1104E+03 0.2139E+03 0.3288E+02 0.2963E+01 0.0000E+00
26 21 3 2 0.9906E+02 0.4487E+02 0.2082E+03 0.9579E+02 0.5914E+01 0.2368E-01
26 21 3 1 0.1527E+03 0.7260E+02 0.5246E+02 0.2751E+02 0.6823E+01 0.2105E-01
26 21 3 0 0.1876E+03 0.5277E+02 0.6047E+01 0.2797E+03 0.3910E+01 0.0000E+00
26 21 2 1 0.8202E+03 0.1952E+03 0.1709E+03 0.5690E+02 0.3953E+01 0.1330E-04
26 21 2 0 0.9383E+03 0.1803E+03 0.7682E+01 0.2415E+02 0.4757E+01 0.0000E+00
26 21 1 0 0.7177E+04 0.1113E+04 0.1049E+02 0.3537E+02 0.1874E+01 0.0000E+00
26 20 3 2 0.1250E+03 0.4332E+02 0.1701E+03 0.9791E+02 0.5905E+01 0.2604E-01
26 20 3 1 0.1783E+03 0.7433E+02 0.5210E+02 0.3306E+02 0.6509E+01 0.2404E-01
26 20 3 0 0.2135E+03 0.5365E+02 0.6463E+01 0.3169E+03 0.3824E+01 0.0000E+00
26 20 2 1 0.8512E+03 0.1840E+03 0.1920E+03 0.5238E+02 0.4082E+01 0.1377E-04
26 20 2 0 0.9693E+03 0.1694E+03 0.8138E+01 0.2316E+02 0.4905E+01 0.0000E+00
26 20 1 0 0.7207E+04 0.1110E+04 0.1055E+02 0.3563E+02 0.1873E+01 0.0000E+00
26 19 3 2 0.1511E+03 0.3652E+02 0.1323E+03 0.9277E+02 0.6150E+01 0.2051E-01
26 19 3 1 0.2055E+03 0.7556E+02 0.5336E+02 0.3855E+02 0.6265E+01 0.2667E-01
26 19 3 0 0.2409E+03 0.5450E+02 0.6938E+01 0.3605E+03 0.3741E+01 0.0000E+00
26 19 2 1 0.8849E+03 0.1788E+03 0.2032E+03 0.5293E+02 0.4107E+01 0.1398E-04
26 19 2 0 0.1003E+04 0.1694E+03 0.8158E+01 0.2345E+02 0.4887E+01 0.0000E+00
26 19 1 0 0.7240E+04 0.1103E+04 0.1067E+02 0.3584E+02 0.1876E+01 0.0000E+00
26 18 3 1 0.2336E+03 0.7704E+02 0.5530E+02 0.4380E+02 0.6059E+01 0.2673E-01
26 18 3 0 0.2696E+03 0.5701E+02 0.7237E+01 0.4092E+03 0.3643E+01 0.0000E+00
26 18 2 1 0.9211E+03 0.1715E+03 0.2205E+03 0.5298E+02 0.4154E+01 0.1508E-04
26 18 2 0 0.1039E+04 0.1706E+03 0.8130E+01 0.2387E+02 0.4850E+01 0.0000E+00
26 18 1 0 0.7275E+04 0.1102E+04 0.1068E+02 0.3576E+02 0.1878E+01 0.0000E+00
26 17 3 1 0.2621E+03 0.7914E+02 0.4686E+02 0.5125E+02 0.5835E+01 0.2574E-01
26 17 3 0 0.2990E+03 0.5854E+02 0.7650E+01 0.4679E+03 0.3561E+01 0.0000E+00
26 17 2 1 0.9590E+03 0.1647E+03 0.2392E+03 0.5276E+02 0.4204E+01 0.1574E-04
